InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,TotalAmount
INV284171,PROD006,10,2023-08-01,16.67,C0068,166.70000000000002
INV656639,PROD009,18,2023-07-07,43.88,C0103,789.84
INV945664,PROD018,6,2023-09-04,13.22,C0257,79.32000000000001
INV178957,PROD048,11,2023-08-28,40.31,C0152,443.41
INV516716,PROD049,8,2023-12-12,43.08,C0073,344.64
INV114594,PROD036,12,2023-07-22,4.97,C0496,59.64
INV885395,PROD035,4,2023-12-11,23.01,C0136,92.04
INV489518,PROD017,19,2023-11-23,19.36,C0345,367.84
INV688678,PROD044,8,2023-11-14,23.84,C0056,190.72
INV963874,PROD040,8,2023-11-22,32.56,C0168,260.48
INV246566,PROD045,10,2023-03-01,32.64,C0238,326.4
INV201913,PROD003,10,2023-03-01,49.8,C0024,498.0
INV803055,PROD035,5,2023-07-09,19.74,C0121,98.69999999999999
INV535037,PROD048,18,2023-03-21,21.25,C0487,382.5
INV134305,PROD007,16,2023-05-24,30.97,C0336,495.52
INV997004,PROD024,7,2023-05-01,22.45,C0354,157.15
INV476096,PROD007,12,2023-11-27,27.45,C0186,329.4
INV989227,PROD026,9,2023-03-04,9.9,C0032,89.10000000000001
INV770556,PROD030,3,2023-11-25,33.31,C0422,99.93
INV232040,PROD002,2,2023-05-05,39.45,C0306,78.9
INV317220,PROD037,7,2023-10-11,3.9,C0403,27.3
INV926952,PROD014,8,2023-03-17,16.76,C0301,134.08
INV236306,PROD039,1,2023-03-16,14.23,C0462,14.23
INV238205,PROD017,6,2023-01-14,5.94,C0277,35.64
INV282710,PROD023,8,2023-01-09,29.65,C0008,237.2
INV219169,PROD004,5,2023-09-27,37.22,C0136,186.1
INV638169,PROD005,16,2023-07-05,22.69,C0382,363.04
INV145471,PROD007,15,2023-11-11,25.44,C0304,381.6
INV132663,PROD043,17,2023-11-26,15.43,C0373,262.31
INV614084,PROD031,13,2023-02-25,21.6,C0032,280.8
INV737846,PROD029,3,2023-06-14,45.01,C0365,135.03
INV713799,PROD005,5,2023-11-21,14.11,C0076,70.55
INV656329,PROD046,11,2023-11-02,19.35,C0281,212.85000000000002
INV931621,PROD030,17,2023-02-20,30.47,C0151,517.99
INV550961,PROD008,18,2023-04-21,36.18,C0360,651.24
INV518098,PROD015,14,2023-08-21,17.28,C0232,241.92000000000002
INV797416,PROD047,4,2023-06-10,15.97,C0213,63.88
INV170394,PROD024,5,2023-08-31,34.5,C0131,172.5
INV951201,PROD006,3,2023-07-10,21.88,C0047,65.64
INV688967,PROD036,2,2023-10-15,29.53,C0067,59.06
INV886730,PROD043,4,2023-12-07,20.84,C0169,83.36
INV427626,PROD047,2,2023-11-04,48.44,C0217,96.88
INV788637,PROD007,19,2023-03-21,25.62,C0181,486.78000000000003
INV485415,PROD015,4,2023-10-12,17.83,C0247,71.32
INV986209,PROD049,9,2023-08-08,28.92,C0059,260.28000000000003
INV127529,PROD040,20,2023-10-13,33.91,C0288,678.1999999999999
INV836833,PROD043,9,2023-05-20,1.93,C0312,17.37
INV250210,PROD020,11,2023-04-03,17.88,C0391,196.67999999999998
INV132146,PROD043,13,2023-11-21,3.94,C0290,51.22
INV575682,PROD048,17,2023-08-03,11.15,C0047,189.55
INV914571,PROD011,12,2023-06-16,15.93,C0175,191.16
INV263137,PROD037,20,2023-01-27,4.71,C0483,94.2
INV385320,PROD049,20,2023-02-11,2.96,C0081,59.2
INV534303,PROD043,14,2023-08-15,24.54,C0227,343.56
INV216276,PROD014,17,2023-08-09,6.13,C0140,104.21
INV423401,PROD044,19,2023-12-08,24.59,C0146,467.21
INV108060,PROD015,13,2023-01-29,49.23,C0024,639.99
INV403507,PROD020,7,2023-05-11,38.48,C0105,269.35999999999996
INV284229,PROD008,1,2023-08-09,25.12,C0168,25.12
INV685864,PROD025,18,2023-09-14,35.33,C0067,635.9399999999999
INV557409,PROD043,12,2023-01-22,4.07,C0427,48.84
INV550137,PROD030,3,2023-10-22,43.17,C0010,129.51
INV121869,PROD026,14,2023-07-27,14.83,C0294,207.62
INV582446,PROD021,6,2023-11-13,40.17,C0495,241.02
INV355135,PROD045,12,2023-02-24,4.86,C0426,58.32000000000001
INV425346,PROD038,13,2023-07-22,26.44,C0224,343.72
INV180089,PROD022,8,2023-03-28,16.99,C0382,135.92
INV913934,PROD041,4,2023-04-10,26.76,C0262,107.04
INV368402,PROD023,5,2023-03-16,12.2,C0179,61.0
INV179013,PROD012,20,2023-12-02,8.07,C0102,161.4
INV896788,PROD041,16,2023-10-16,23.47,C0091,375.52
INV438908,PROD029,19,2023-11-16,32.33,C0297,614.27
INV591699,PROD041,11,2023-02-04,7.97,C0443,87.67
INV158900,PROD041,10,2023-10-30,39.92,C0227,399.20000000000005
INV139434,PROD033,3,2023-08-20,15.87,C0181,47.61
INV744883,PROD024,10,2023-02-16,4.3,C0030,43.0
INV930281,PROD033,13,2023-10-11,23.4,C0305,304.2
INV783501,PROD003,15,2023-10-20,45.5,C0379,682.5
INV164879,PROD021,20,2023-03-19,24.04,C0097,480.79999999999995
INV629057,PROD007,11,2023-02-13,49.13,C0231,540.4300000000001
INV560767,PROD012,2,2023-08-13,12.76,C0331,25.52
INV396635,PROD034,20,2023-07-10,8.36,C0269,167.2
INV927564,PROD027,11,2023-01-27,34.11,C0199,375.21
INV685066,PROD042,11,2023-02-18,3.76,C0324,41.36
INV731977,PROD025,10,2023-12-03,12.97,C0348,129.70000000000002
INV248298,PROD010,11,2023-12-06,4.53,C0448,49.830000000000005
INV794299,PROD023,10,2023-12-24,48.4,C0470,484.0
INV424620,PROD009,20,2023-02-13,35.59,C0201,711.8000000000001
INV836971,PROD025,11,2023-12-10,40.75,C0287,448.25
INV543973,PROD048,17,2023-12-10,5.13,C0425,87.21
INV324597,PROD024,1,2023-04-03,18.45,C0261,18.45
INV262471,PROD032,7,2023-03-12,11.71,C0175,81.97
INV975686,PROD019,4,2023-10-04,25.63,C0040,102.52
INV237414,PROD034,2,2023-11-13,33.27,C0379,66.54
INV908554,PROD025,5,2023-12-21,8.53,C0306,42.65
INV809217,PROD011,15,2023-07-06,2.66,C0320,39.900000000000006
INV345369,PROD016,15,2023-08-18,30.72,C0369,460.79999999999995
INV975679,PROD016,10,2023-08-29,48.3,C0274,483.0
INV906814,PROD024,19,2023-08-25,49.23,C0100,935.3699999999999
INV956572,PROD025,17,2023-03-24,26.61,C0145,452.37
INV772324,PROD039,5,2023-01-27,43.71,C0103,218.55
INV986982,PROD024,18,2023-12-31,46.75,C0247,841.5
INV386042,PROD008,10,2023-03-24,4.65,C0265,46.5
INV332823,PROD033,5,2023-02-16,41.64,C0231,208.2
INV155843,PROD029,12,2023-08-01,46.56,C0419,558.72
INV493124,PROD033,12,2023-02-11,12.17,C0203,146.04
INV451577,PROD002,11,2023-11-29,46.58,C0115,512.38
INV829884,PROD010,5,2023-08-30,2.4,C0406,12.0
INV183074,PROD009,16,2023-01-03,22.71,C0426,363.36
INV862560,PROD017,7,2023-10-08,41.83,C0010,292.81
INV349183,PROD034,14,2023-05-28,6.0,C0312,84.0
INV932463,PROD008,2,2023-11-24,12.3,C0155,24.6
INV725726,PROD030,3,2023-09-13,5.99,C0319,17.97
INV405420,PROD002,17,2023-03-15,28.96,C0275,492.32
INV536802,PROD001,20,2023-10-20,17.96,C0220,359.20000000000005
INV170966,PROD043,3,2023-07-04,26.41,C0096,79.23
INV681070,PROD034,18,2023-09-17,25.61,C0489,460.98
INV491435,PROD025,16,2023-07-18,2.65,C0011,42.4
INV461551,PROD048,1,2023-02-04,18.18,C0130,18.18
INV239890,PROD047,4,2023-06-20,38.69,C0124,154.76
INV283594,PROD023,18,2023-11-26,17.26,C0023,310.68
INV762423,PROD044,15,2023-09-03,49.05,C0426,735.75
INV138780,PROD009,3,2023-08-23,35.94,C0094,107.82
INV430926,PROD013,2,2023-01-22,39.66,C0151,79.32
INV596395,PROD020,17,2023-10-06,20.21,C0478,343.57
INV787584,PROD003,7,2023-01-25,14.66,C0130,102.62
INV519453,PROD018,4,2023-08-12,40.07,C0170,160.28
INV620306,PROD029,13,2023-04-06,17.28,C0381,224.64000000000001
INV379676,PROD032,12,2023-09-23,46.25,C0355,555.0
INV962287,PROD006,14,2023-11-05,4.41,C0411,61.74
INV443848,PROD035,10,2023-02-10,16.4,C0093,164.0
INV274739,PROD019,10,2023-08-07,22.57,C0339,225.7
INV744718,PROD029,12,2023-06-30,22.63,C0354,271.56
INV525942,PROD018,2,2023-11-23,4.21,C0223,8.42
INV989894,PROD033,6,2023-03-15,47.66,C0187,285.96
INV347459,PROD044,15,2023-02-04,2.22,C0312,33.300000000000004
INV133958,PROD042,12,2023-10-18,18.43,C0399,221.16
INV565504,PROD010,15,2023-07-10,47.47,C0310,712.05
INV517368,PROD005,19,2023-07-07,7.32,C0391,139.08
INV127172,PROD042,9,2023-02-28,12.86,C0161,115.74
INV223481,PROD012,16,2023-10-15,26.13,C0377,418.08
INV399449,PROD017,15,2023-11-10,11.12,C0135,166.79999999999998
INV574001,PROD032,7,2023-02-07,6.57,C0356,45.99
INV986593,PROD046,15,2023-12-16,49.86,C0089,747.9
INV668507,PROD043,12,2023-10-09,35.62,C0164,427.43999999999994
INV768676,PROD020,6,2023-12-25,35.73,C0149,214.38
INV930541,PROD024,17,2023-04-13,11.6,C0090,197.2
INV700076,PROD016,16,2023-10-11,1.8,C0072,28.8
INV168941,PROD030,18,2023-02-14,6.92,C0189,124.56
INV963333,PROD026,16,2023-07-29,26.52,C0159,424.32
INV177767,PROD005,5,2023-11-25,48.63,C0295,243.15
INV770872,PROD030,17,2023-10-10,17.55,C0231,298.35
INV971776,PROD012,5,2023-01-29,21.91,C0301,109.55
INV438334,PROD034,5,2023-03-24,15.55,C0064,77.75
INV397846,PROD046,8,2023-09-23,17.63,C0479,141.04
INV387782,PROD006,9,2023-10-10,10.22,C0434,91.98
INV626986,PROD041,10,2023-02-17,30.91,C0065,309.1
INV279516,PROD011,19,2023-03-20,47.11,C0329,895.09
INV143195,PROD040,20,2023-10-16,17.21,C0338,344.20000000000005
INV908475,PROD002,3,2023-11-25,2.75,C0423,8.25
INV748133,PROD017,7,2023-08-02,38.46,C0296,269.22
INV403742,PROD002,16,2023-10-07,44.51,C0328,712.16
INV525818,PROD020,16,2023-12-17,12.62,C0329,201.92
INV560959,PROD030,3,2023-03-22,34.59,C0153,103.77000000000001
INV250647,PROD031,15,2023-11-07,10.6,C0213,159.0
INV518084,PROD046,11,2023-06-26,36.84,C0161,405.24
INV434617,PROD049,12,2023-02-24,25.99,C0067,311.88
INV247720,PROD030,4,2023-05-07,13.74,C0124,54.96
INV538446,PROD004,10,2023-11-12,47.3,C0050,473.0
INV299055,PROD011,11,2023-06-10,46.72,C0128,513.92
INV622987,PROD011,16,2023-08-28,49.8,C0391,796.8
INV629996,PROD020,16,2023-07-21,1.65,C0451,26.4
INV152995,PROD016,7,2023-01-25,29.38,C0235,205.66
INV805188,PROD032,20,2023-12-01,44.18,C0145,883.6
INV551860,PROD019,18,2023-02-25,0.9,C0241,16.2
INV147440,PROD017,12,2023-07-07,38.31,C0069,459.72
INV680096,PROD004,19,2023-07-05,28.31,C0206,537.89
INV393308,PROD005,13,2023-10-09,25.46,C0148,330.98
INV513037,PROD040,20,2023-02-19,6.38,C0423,127.6
INV308727,PROD022,18,2023-03-15,46.98,C0192,845.64
INV140804,PROD033,13,2023-01-24,25.25,C0309,328.25
INV579187,PROD046,11,2023-09-23,40.3,C0071,443.29999999999995
INV434002,PROD039,17,2023-11-10,7.42,C0077,126.14
INV722565,PROD026,20,2023-06-03,37.1,C0084,742.0
INV690268,PROD033,17,2023-12-29,26.85,C0173,456.45000000000005
INV214928,PROD031,1,2023-12-11,18.73,C0154,18.73
INV759827,PROD038,10,2023-12-19,39.94,C0214,399.4
INV920934,PROD039,16,2023-12-02,13.64,C0014,218.24
INV711868,PROD038,19,2023-01-27,11.76,C0498,223.44
INV912233,PROD011,17,2023-11-14,31.64,C0246,537.88
INV133104,PROD025,5,2023-05-05,41.17,C0431,205.85000000000002
INV428930,PROD045,4,2023-08-14,9.94,C0294,39.76
INV626195,PROD010,14,2023-07-30,34.68,C0215,485.52
INV840058,PROD040,16,2023-02-01,43.7,C0397,699.2
INV601608,PROD034,7,2023-12-06,28.26,C0071,197.82000000000002
INV659024,PROD025,11,2023-08-24,47.86,C0270,526.46
INV774558,PROD035,12,2023-12-15,33.96,C0176,407.52
INV358494,PROD045,9,2023-04-09,30.7,C0412,276.3
INV908634,PROD036,10,2023-06-02,11.63,C0143,116.30000000000001
INV432441,PROD046,7,2023-09-08,34.67,C0148,242.69
INV401769,PROD023,18,2023-05-21,46.72,C0246,840.96
INV958130,PROD037,18,2023-07-22,19.29,C0063,347.21999999999997
INV463188,PROD010,10,2023-02-10,2.58,C0177,25.8
INV311883,PROD029,9,2023-04-20,37.49,C0474,337.41
INV384815,PROD035,9,2023-12-23,46.68,C0424,420.12
INV354235,PROD007,20,2023-05-03,37.17,C0071,743.4000000000001
INV155040,PROD043,17,2023-04-30,11.67,C0026,198.39
INV814281,PROD027,11,2023-02-21,36.01,C0052,396.10999999999996
INV526673,PROD009,1,2023-03-22,48.24,C0395,48.24
INV436768,PROD031,16,2023-05-28,32.7,C0335,523.2
INV783984,PROD042,2,2023-02-15,45.44,C0147,90.88
INV283568,PROD015,18,2023-01-20,37.06,C0294,667.08
INV926236,PROD012,2,2023-07-23,49.86,C0214,99.72
INV412886,PROD012,10,2023-01-05,43.9,C0254,439.0
INV398384,PROD039,4,2023-06-21,46.46,C0291,185.84
INV992400,PROD042,18,2023-03-10,26.45,C0233,476.09999999999997
INV446747,PROD030,9,2023-02-27,10.04,C0259,90.35999999999999
INV114768,PROD047,15,2023-04-06,32.59,C0084,488.85
